title,description,skill,link,img_url,label
Software Support and Project Specialist,HASTAVUK GIDA TARIMHAYVANCILIK SAN.VE TİC.A.Ş.,"erp, sap, sql",https://www.kariyer.net//is-ilani/hastavuk-gida-tarimhayvancilik-san-ve-tic-a-s-yazilim-destek-ve-proje-uzmani-3499995,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/17278_logo.gif,data warehouse developer
Web Development Specialist,Pratik Aday Servisi,"html, photoshop, css, illustrator, seo, javascript",https://www.kariyer.net//is-ilani/pratik-aday-servisi-web-gelistirme-uzmani-3508556,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/171866_188313.jpg,digital marketing specialist
Canias ERP Specialist,B-PLAS BURSA PLAS MET İNŞ ENR MAD JEO TURZ VETAR SA VE Tİ AŞ,"erp, mysql, java, sql",https://www.kariyer.net//is-ilani/b-plas-bursa-plas-met-ins-enr-mad-jeo-turz-vetar-s-canias-erp-uzmani-2850139,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/5995_253343.jpg,data warehouse developer
.Net Developer,SMARTBEE BİLİŞİM TEKNOLOJİLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,"restful, mysql, sql, redis",https://www.kariyer.net//is-ilani/smartbee-bilisim-teknolojileri-sanayi-ve-ticaret-l--net-developer-3207849,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/292034_240131.jpg,data warehouse developer
Software specialist,Akmercan Şirketler Grubu,"mvc, json, restful, erp, xml, microsoft, css",https://www.kariyer.net//is-ilani/akmercan-sirketler-grubu-yazilim-uzmani-3390858,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/19642_logo.gif,front-end developer
Database Administrator,VATAN BİLGİSAYAR SAN VE TİC.A.Ş.,"microsoft sql server, engineering, management, installation, microsoft, sql",https://www.kariyer.net//is-ilani/vatan-bilgisayar-san-ve-tic-a-s-database-administrator-3469352,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/vatanbilg_logo.gif,data warehouse developer
Software specialist,LEDBİM BİLİŞİM DANIŞMANLIK VE TİCARET ANONİM ŞİRKETİ,programming,https://www.kariyer.net//is-ilani/ledbim-bilisim-danismanlik-ve-ticaret-anonim-sirke-yazilim-uzmani-3471966,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/nxv54jr0.bgo.jpg,software engineer
Laravel Developer,YEK TEKNOLOJİ PAZARLAMA A.Ş,"json, mvc, laravel, management, php, elasticsearch, git, mysql, javascript",https://www.kariyer.net//is-ilani/yek-teknoloji-pazarlama-a-s-laravel-developer-3479252,/_assets/img/firma-logosuz.png,data warehouse developer
Software specialist,Acıbadem Mehmet Ali Aydınlar Üniversitesi,"php, html, apache, css, drupal, javascript",https://www.kariyer.net//is-ilani/acibadem-mehmet-ali-aydinlar-universitesi-yazilim-uzmani-3199676,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/acibademüniv.gif,front-end developer
Frontend Developer,KARACA ZÜCCACİYE TİCARET VE SAN A.Ş.,"flex, bootstrap, html, git, css, javascript",https://www.kariyer.net//is-ilani/karaca-zuccaciye-ticaret-ve-san-a-s-frontend-developer-3495857,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/8074_232187.jpg,front-end developer
GTech Financial Solutions Academy,G Teknoloji Bilişim San. ve Tic. A.Ş.,"redis, apache, java, postgresql",https://www.kariyer.net//is-ilani/g-teknoloji-bilisim-san-ve-tic-a-s-gtech-finansal-cozumler-akademisi-3422857,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/gteknoloji_logo.gif,data warehouse developer
Software specialist,Aktif Bilgi İşlem Ltd. Şti.,"json, mvc, xml, html5, postgresql",https://www.kariyer.net//is-ilani/aktif-bilgi-islem-ltd-sti-yazilim-uzmani-3311603,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/aktifbi_logo.gif,data warehouse developer
Software specialist,Koton,"restful, scrum, programming, redis, git",https://www.kariyer.net//is-ilani/koton-yazilim-uzmani-3493994,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/koton_logo.gif,software engineer
Software specialist,Netlog Lojistik Hizmetleri A.Ş.,"json, mvc, ajax, bootstrap, management, html, xml, wpf, css, design, sql, javascript",https://www.kariyer.net//is-ilani/netlog-lojistik-hizmetleri-a-s-yazilim-uzmani-2490292,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/7391_189695.jpg,data warehouse developer
Software specialist,MATLI YEM SAN.VE TİC AŞ.,"excel, html, sap, word, css, powerpoint, javascript",https://www.kariyer.net//is-ilani/matli-yem-san-ve-tic-as-yazilim-uzmani-3475357,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/3991_logo.gif,front-end developer
CRM Solutions Software Specialist,DIGITURK,"web services, xml, oracle, microsoft, crm",https://www.kariyer.net//is-ilani/digiturk-crm-cozumleri-yazilim-uzmani-3501939,/_assets/img/firma-logosuz.png,data analyst
IFS Developer,Janoschka Baskı Silindirleri San. Tic. A.Ş.,"finance, german, erp, oracle, building, software development, design, sql",https://www.kariyer.net//is-ilani/janoschka-baski-silindirleri-san-tic-a-s-ifs-developer-3467517,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/33992_logo.gif,data warehouse developer
IT Software Specialist,Taha Giyim San. Ve Tic. A.Ş.,"restful, scrum, redis",https://www.kariyer.net//is-ilani/taha-giyim-san-ve-tic-a-s-bt-yazilim-uzmani-3482654,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/tahagiyimkariyernet1.jpg,data analyst
Ax Software Specialist,Bezmialem Vakıf Üniversitesi,"dynamics, sql, qlikview",https://www.kariyer.net//is-ilani/bezmialem-vakif-universitesi-ax-yazilim-uzmani-3506780,/_assets/img/firma-logosuz.png,data warehouse developer
Full-Stack .Net Software Specialist,ZİRVEDEKİ BEYİNLER,"mvc, bootstrap, programming, iis, redis, elasticsearch, css, design, postgresql, javascript",https://www.kariyer.net//is-ilani/zirvedeki-beyinler-full-stack-net-yazilim-uzmani-3484025,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/gcumn0gy.14r.png,data warehouse developer
Software specialist,PUSULA CALL CENTER İLETİŞİM A.Ş.,"mvc, java, sql, linq",https://www.kariyer.net//is-ilani/pusula-call-center-iletisim-a-s-yazilim-uzmani-3508950,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/13036.gif,data warehouse developer
Canias Senior Developer,ARIKAN MAĞAZACILIK A.Ş. Konyalı Saat,erp,https://www.kariyer.net//is-ilani/arikan-magazacilik-a-s-konyali-saat-canias-senior-developer-3477632,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/arıkan logo.jpg,data analyst
