title,description,skill,link,img url
Yazýlým Uzmaný (.Net),KAYAPORT TEKNOLOJÝ HÝZM. SAN. VE TÝC. A.Þ.,"mvc, git, xml, web services, linq, json, sql",https://www.kariyer.net//is-ilani/kayaport-teknoloji-hizm-san-ve-tic-a-s-yazilim-uzmani-net-3489856,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/158474_215212.jpg
Yazýlým Uzmaný,Otokar,"sql, sap",https://www.kariyer.net//is-ilani/otokar-yazilim-uzmani-3491801,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/otokar_logo.gif
.Net Yazýlým Uzmaný,Türkiye Finans Katýlým Bankasý,sql,https://www.kariyer.net//is-ilani/turkiye-finans-katilim-bankasi--net-yazilim-uzmani-2695389,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/türkiye finans logo.png
Kartlý Ödeme Sistemleri Yazýlýmcýsý,TÜRKÝYE FÝNANS KATILIM BANKASI A.Þ.,microsoft,https://www.kariyer.net//is-ilani/turkiye-finans-katilim-bankasi-a-s-kartli-odeme-sistemleri-yazilimcisi-2799365,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/4594_251191.jpg
Database Administrator,VATAN BÝLGÝSAYAR SAN VE TÝC.A.Þ.,"engineering, microsoft, management, installation, microsoft sql server, sql",https://www.kariyer.net//is-ilani/vatan-bilgisayar-san-ve-tic-a-s-database-administrator-3469352,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/vatanbilg_logo.gif
Yazýlým Uzmaný,QUASAR ÝNSAN KAYNAKLARI HÝZMETLERÝ,"javascript, mvc, sql",https://www.kariyer.net//is-ilani/quasar-insan-kaynaklari-hizmetleri-yazilim-uzmani-3457364,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/328793_247684.jpg
Software Developer,Arvato Lojistik Dýþ Ticaret ve E Ticaret Hizmetleri A.Þ.,"programming, insurance, oauth, engineering, management, scrum, git, agile development, automotive, android, design, reviews, leads, debugging, sql, ecommerce, azure",https://www.kariyer.net//is-ilani/arvato-lojistik-dis-ticaret-ve-e-ticaret-hizmetler-software-developer-3491576,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/yeni.jpg.jpg
Dijital Yazýlým Projeleri Uzmaný,Koru Sigorta A.Þ.,"javascript, mvc, html, postgresql, css, sql",https://www.kariyer.net//is-ilani/koru-sigorta-a-s-dijital-yazilim-projeleri-uzmani-3414553,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/51363_1168161.png
GTech Finansal Çözümler Akademisi,G Teknoloji Biliþim San. ve Tic. A.Þ.,"java, redis, apache, postgresql",https://www.kariyer.net//is-ilani/g-teknoloji-bilisim-san-ve-tic-a-s-gtech-finansal-cozumler-akademisi-3422857,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/gteknoloji_logo.gif
Yazýlým Uzmaný,Aktif Bilgi Ýþlem Ltd. Þti.,"html5, mvc, xml, postgresql, json",https://www.kariyer.net//is-ilani/aktif-bilgi-islem-ltd-sti-yazilim-uzmani-3311603,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/aktifbi_logo.gif
Laravel Developer,YEK TEKNOLOJÝ PAZARLAMA A.Þ,"javascript, laravel, management, git, mvc, php, mysql, json, elasticsearch",https://www.kariyer.net//is-ilani/yek-teknoloji-pazarlama-a-s-laravel-developer-3479252,
Yazýlým Uzmaný,Akmercan Þirketler Grubu,"restful, microsoft, mvc, erp, xml, json, css",https://www.kariyer.net//is-ilani/akmercan-sirketler-grubu-yazilim-uzmani-3390858,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/19642_logo.gif
Yazýlým Uzmaný,Espressolab,"javascript, oracle, apache, restful, scrum, erp, redis, php, html, css",https://www.kariyer.net//is-ilani/espressolab-yazilim-uzmani-3471096,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/espressolab.gif
Yazýlým Uzmaný,MATLI YEM SAN.VE TÝC AÞ.,"word, javascript, excel, sap, html, powerpoint, css",https://www.kariyer.net//is-ilani/matli-yem-san-ve-tic-as-yazilim-uzmani-3475357,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/3991_logo.gif
Python Yazýlým Geliþtirme Uzmaný,ÖZDÝLEK ALIÞVERÝÞ MERKEZLERÝ VE TEKSTÝL SAN.A.Þ.,"git, python, postgresql, web services, linux, restful, sql",https://www.kariyer.net//is-ilani/ozdilek-alisveris-merkezleri-ve-tekstil-san-a-s-python-yazilim-gelistirme-uzmani-3380674,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/1241_174701.jpg
Yazýlým Uzmaný,Tunalar Topluluk Þirketi,"java, xml, mvc, sql",https://www.kariyer.net//is-ilani/tunalar-topluluk-sirketi-yazilim-uzmani-3025900,
Yazýlým Uzman / Uzman Yardýmcýsý,Ýstanbul Geliþim Üniversitesi,"html5, bootstrap, git, mvc, xml, linq, css, sql, xamarin",https://www.kariyer.net//is-ilani/istanbul-gelisim-universitesi-yazilim-uzman-uzman-yardimcisi-3467985,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/235114_195651.jpg
Yazýlým Uzmaný,Koton,"programming, scrum, git, redis, restful",https://www.kariyer.net//is-ilani/koton-yazilim-uzmani-2941408,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/koton_logo.gif
Canias Senior Developer,ARIKAN MAÐAZACILIK A.Þ. Konyalý Saat,erp,https://www.kariyer.net//is-ilani/arikan-magazacilik-a-s-konyali-saat-canias-senior-developer-3477632,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/arýkan logo.jpg
ABAP Yazýlým Uzmaný,Gemak Þirketler Grubu,"sql, sap",https://www.kariyer.net//is-ilani/gemak-sirketler-grubu-abap-yazilim-uzmani-3426651,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/tuzla_5.gif
.Net Yazýlým Uzmaný,CANTEK SOÐUTMA A.Þ.,"git, postgresql",https://www.kariyer.net//is-ilani/cantek-sogutma-a-s--net-yazilim-uzmani-3466145,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/13066cantek.gif
