title,description,skill,link,img_url,label
IT Technical Support Specialist,Secret Bilgisayar Ltd Åti,"windows server, dns, sql, microsoft",https://www.kariyer.net//is-ilani/secret-bilgisayar-ltd-sti-bilgi-islem-teknik-destek-sorumlusu-2808954,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/8578_194601.jpg,data warehouse developer
Information Security Specialist,DarÃ¼ÅÅafaka Cemiyeti,"azure, windows server, active directory, iis, dns, sql",https://www.kariyer.net//is-ilani/darussafaka-cemiyeti-bilgi-guvenligi-uzmani-3268639,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/34075_252352.jpg,data warehouse developer
System Administrator,VIKING INTERNATIONAL LTD.ÅTÄ°.,"windows server, veeam, microsoft, sql, vmware",https://www.kariyer.net//is-ilani/viking-international-ltd-sti-system-administrator-3403194,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/122712viking.gif,data warehouse developer
IT Engineer,Ãukurova Ä°nÅaat MakinalarÄ± San. ve Tic A.Å.,"visual basic, excel, erp, windows server, sql",https://www.kariyer.net//is-ilani/cukurova-insaat-makinalari-san-ve-tic-a-s-bilgi-islem-muhendisi-3467686,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/cukurovains_logo.gif,data warehouse developer
Software Support Personnel,VERÄ° YAZILIM PROJE DANIÅMANLIK HÄ°ZMETLERÄ° SAN.VE TÄ°C.A.Å.,"microsoft sql server, sql, microsoft",https://www.kariyer.net//is-ilani/veri-yazilim-proje-danismanlik-hizmetleri-san-ve-t-yazilim-destek-personeli-3481018,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/22010_177198.jpg,data warehouse developer
Team Lead,Ata Holding A.Å.,"sales, microsoft sql server, engineering, management, startups, redis, software development, microsoft, delivery, sql",https://www.kariyer.net//is-ilani/ata-holding-a-s-team-lead-3504009,/_assets/img/firma-logosuz.png,data warehouse developer
Database Administrator,VATAN BÄ°LGÄ°SAYAR SAN VE TÄ°C.A.Å.,"microsoft sql server, engineering, management, installation, microsoft, sql",https://www.kariyer.net//is-ilani/vatan-bilgisayar-san-ve-tic-a-s-database-administrator-3469352,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/vatanbilg_logo.gif,data warehouse developer
Software developing expert,Gizli Firma,"mvc, restful, microsoft sql server, microsoft, sql",https://www.kariyer.net//is-ilani/gizli-firma-yazilim-gelistirme-uzmani-3508518,,data warehouse developer
Software specialist,Makel Elektrik Malzemeleri,"mvc, restful, microsoft sql server, microsoft, sql",https://www.kariyer.net//is-ilani/makel-elektrik-malzemeleri-yazilim-uzmani-3484798,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/makel_logo.gif,data warehouse developer
Software Development Person,SektÃ¶rÃ¼nde ÃncÃ¼ Firma,"mvc, restful, microsoft sql server, microsoft, sql",https://www.kariyer.net//is-ilani/sektorunde-oncu-firma-yazilim-gelistirme-elemani-3433076,,data warehouse developer
