title,description,skill,link
Back End Developer,MS TEKNOLOJÝ TÝCARET LÝMÝTED ÞÝRKETÝ,"ajax , html5 , mvc , laravel , mysql , postgresql",https://www.kariyer.net//is-ilani/ms-teknoloji-ticaret-limited-sirketi-back-end-developer-3459857
Android Geliþtirici,Pratik Aday Servisi,"git , android , java",https://www.kariyer.net//is-ilani/pratik-aday-servisi-android-gelistirici-3461013
Yazýlým Uzmaný,Teklas Kauçuk,"erp , sql , mvc , html5",https://www.kariyer.net//is-ilani/teklas-kaucuk-yazilim-uzmani-3015761
Yazýlým Uzmaný,Gizli Firma,"java , postgresql",https://www.kariyer.net//is-ilani/gizli-firma-yazilim-uzmani-3458414
Yazýlým Uzmaný,SAVAS GRUP ÝNÞAAT SANAYÝ TÝCARET ANONÝM ÞÝRKETÝ,"restful , scrum , html5 , javascript , xamarin , mvc , linq",https://www.kariyer.net//is-ilani/savas-grup-insaat-sanayi-ticaret-anonim-sirketi-yazilim-uzmani-3437166
Frontend Yazýlým Geliþtirme Uzmaný,Ýstanbul Eczacýlar Kooperatifi,"scrum , html5 , javascript , mvc , json",https://www.kariyer.net//is-ilani/istanbul-eczacilar-kooperatifi-frontend-yazilim-gelistirme-uzmani-3465747
Yazýlým Uzmaný,PÝNKAR KÝMYA SANAYÝ VE TÝC. A.Þ.,"java , html , erp , php , sql , excel",https://www.kariyer.net//is-ilani/pinkar-kimya-sanayi-ve-tic-a-s-yazilim-uzmani-3445282
Kartlý Ödeme Sistemleri Yazýlýmcýsý,TÜRKÝYE FÝNANS KATILIM BANKASI A.Þ.,microsoft,https://www.kariyer.net//is-ilani/turkiye-finans-katilim-bankasi-a-s-kartli-odeme-sistemleri-yazilimcisi-2799365
.Net Yazýlým Uzmaný,Türkiye Finans Katýlým Bankasý,sql,https://www.kariyer.net//is-ilani/turkiye-finans-katilim-bankasi--net-yazilim-uzmani-2695389
Yazýlým Uzmaný,KSO BÝLÝÞÝM TÝCARET LTD.ÞTÝ.,"seo , ubuntu , bootstrap , mysql , cs , redis , swift , postgresql",https://www.kariyer.net//is-ilani/kso-bilisim-ticaret-ltd-sti-yazilim-uzmani-3447934
Yazýlým Uzmaný,Koton,"git , programming , restful , scrum , redis",https://www.kariyer.net//is-ilani/koton-yazilim-uzmani-2941408
.Net Software Engineer,METASÝS TEKNOLOJÝ TÝCARET LTD. ÞTÝ.,"bootstrap , mvc , microsoft , finance , cs , coding , web service , xslt , apache , java , xml , design , sql , training , json , ajax , software development , compliance , azure , linq , engineering",https://www.kariyer.net//is-ilani/metasis-teknoloji-ticaret-ltd-sti--net-software-engineer-3120933
.Net Core / Angular Yazýlým Geliþtirme Uzmaný,YUCHISOFT,"git , linq , typescript",https://www.kariyer.net//is-ilani/yuchisoft--net-core-angular-yazilim-gelistirme-uzmani-3465055
Yazýlým Uzmaný,QUASAR ÝNSAN KAYNAKLARI HÝZMETLERÝ,"javascript , sql , mvc",https://www.kariyer.net//is-ilani/quasar-insan-kaynaklari-hizmetleri-yazilim-uzmani-3457364
Yazýlým Uzmaný (.Net),KAYAPORT TEKNOLOJÝ HÝZM. SAN. VE TÝC. A.Þ.,"git , linq , web service , mvc , xml , sql , json",https://www.kariyer.net//is-ilani/kayaport-teknoloji-hizm-san-ve-tic-a-s-yazilim-uzmani-net-3435228
Yazýlým Uzmaný,Mt Bilgi Teknolojileri ve Dýþ. Tic.a.þ.,"git , java , postgresql",https://www.kariyer.net//is-ilani/mt-bilgi-teknolojileri-ve-dis-tic-a-s-yazilim-uzmani-3428643
Hbys Yazýlým Uzmaný,AKGÜN BÝLGÝSAYAR PROGRAM VE HÝZMETLERÝ SANAYÝ TÝCARET ANONÝM ÞÝRKETÝ,"git , java , j2ee , oracle",https://www.kariyer.net//is-ilani/akgun-bilgisayar-program-ve-hizmetleri-sanayi-tica-hbys-yazilim-uzmani-3459648
Yazýlým Geliþtirme Uzmaný (Hibrit),MOBÝTEK Biliþim Hizmetleri,"ajax , javascript , cs , html , sql",https://www.kariyer.net//is-ilani/mobitek-bilisim-hizmetleri-yazilim-gelistirme-uzmani-hibrit-2542905
GTech Finansal Çözümler Akademisi,G Teknoloji Biliþim San. ve Tic. A.Þ.,"apache , java , redis , postgresql",https://www.kariyer.net//is-ilani/g-teknoloji-bilisim-san-ve-tic-a-s-gtech-finansal-cozumler-akademisi-3422857
Full-Stack .Net Yazýlým Uzmaný,ZÝRVEDEKÝ BEYÝNLER,"elasticsearch , programming , javascript , bootstrap , ii , cs , mvc , redis , design , postgresql",https://www.kariyer.net//is-ilani/zirvedeki-beyinler-full-stack-net-yazilim-uzmani-3439473
Yazýlým Uzmaný,Tunalar Topluluk Þirketi,"xml , java , sql , mvc",https://www.kariyer.net//is-ilani/tunalar-topluluk-sirketi-yazilim-uzmani-3025900
Backend Developer,Sigortam.net,"git , elasticsearch , insurance , programming , recruitment , oracle , mvc , redis , design , sql , engineering",https://www.kariyer.net//is-ilani/sigortam-net-backend-developer-3430453
.Net Developer,Smartnet Biliþim Hizmetleri Tic. Ltd.Þti.,"javascript , mvc",https://www.kariyer.net//is-ilani/smartnet-bilisim-hizmetleri-tic-ltd-sti--net-developer-1474050
Mobil Yazýlým Uzmaný,TürkMedya,"git , design",https://www.kariyer.net//is-ilani/turkmedya-mobil-yazilim-uzmani-3451019
Yazýlým Uzmaný,Tatmetal,"javascript , bootstrap , sql , html5",https://www.kariyer.net//is-ilani/tatmetal-yazilim-uzmani-3399288
Yazýlým Uzmaný,M.N.B.OTO KÝRALAMA VE NAKLÝYAT TÝCARET ANONÝM ÞÝRKETÝ,"crm , javascript , wpf , design , dynamic , microsoft , erp , linq",https://www.kariyer.net//is-ilani/m-n-b-oto-kiralama-ve-nakliyat-ticaret-anonim-sirk-yazilim-uzmani-3405475
Database Administrator,VATAN BÝLGÝSAYAR SAN VE TÝC.A.Þ.,"installation , microsoft , management , sql , microsoft sql server , engineering",https://www.kariyer.net//is-ilani/vatan-bilgisayar-san-ve-tic-a-s-database-administrator-3432626
.Net Yazýlým Uzmaný,Özdilek / Holding,"ajax , javascript , mvc , design , json",https://www.kariyer.net//is-ilani/ozdilek-holding--net-yazilim-uzmani-3189240
ABAP Yazýlým Uzmaný,Gemak Þirketler Grubu,"sql , sap",https://www.kariyer.net//is-ilani/gemak-sirketler-grubu-abap-yazilim-uzmani-3426651
Yazýlým Uzmaný,Netlog Lojistik Hizmetleri A.Þ.,"ajax , javascript , wpf , bootstrap , cs , mvc , xml , html , design , management , sql , json",https://www.kariyer.net//is-ilani/netlog-lojistik-hizmetleri-a-s-yazilim-uzmani-2490292
Yazýlým Geliþtirme Uzmaný,OLKA SPOR MALZEMELERÝ TÝCARET A. Þ.,"web service , javascript , bootstrap , erp , sql",https://www.kariyer.net//is-ilani/olka-spor-malzemeleri-ticaret-a-s-yazilim-gelistirme-uzmani-3077466
Frontend Developer,Sendeo Daðýtým Hizmetleri Anonim Þirketi,"git , review , project management , yarn , javascript , typescript , cs , building , design , management , delivery",https://www.kariyer.net//is-ilani/sendeo-dagitim-hizmetleri-anonim-sirketi-frontend-developer-3304377
Yazýlým Uzmaný,BÝLÝN YAZILIM VE BÝLÝÞÝM DANIÞMANLIÐI A.Þ.,"scrum , javascript , xamarin , oracle , azure , mvc , redis , sql",https://www.kariyer.net//is-ilani/bilin-yazilim-ve-bilisim-danismanligi-a-s-yazilim-uzmani-3455108
Ax Yazýlým Uzmaný,Bezmialem Vakýf Üniversitesi,"sql , dynamic , qlikview",https://www.kariyer.net//is-ilani/bezmialem-vakif-universitesi-ax-yazilim-uzmani-3429911
Yazýlým Uzmaný,KEBA OTOMOTÝV YEDEKPARÇA SAN.VE TÝCLTD.ÞTÝ.,"git , restful , shopify , javascript , typescript , cs , html , erp",https://www.kariyer.net//is-ilani/keba-otomotiv-yedekparca-san-ve-ticltd-sti-yazilim-uzmani-3429886
Canias ERP Uzmaný,B-PLAS BURSA PLAS MET ÝNÞ ENR MAD JEO TURZ VETAR SA VE TÝ AÞ,"erp , java , sql , mysql",https://www.kariyer.net//is-ilani/b-plas-bursa-plas-met-ins-enr-mad-jeo-turz-vetar-s-canias-erp-uzmani-2850139
Yazýlým Uzmaný,Hisar Hospital Intercontinental,"scrum , javascript , azure , cs , oracle , java , html , design",https://www.kariyer.net//is-ilani/hisar-hospital-intercontinental-yazilim-uzmani-3442862
Yazýlým Uzmaný,ETCBASE Yazýlým ve Biliþim Teknolojileri A.Þ,"html5 , javascript , bootstrap , cs , sql",https://www.kariyer.net//is-ilani/etcbase-yazilim-ve-bilisim-teknolojileri-a-s-yazilim-uzmani-3439626
Yazýlým Mühendisi,FARBA OTOMOTÝV ANONÝM ÞÝRKETÝ,"java , microsoft , erp , sql , microsoft sql server",https://www.kariyer.net//is-ilani/farba-otomotiv-anonim-sirketi-yazilim-muhendisi-3462712
Yazýlým Uzmaný,Ýpekyol Giyim San. ve Tic. A.Þ.,sql,https://www.kariyer.net//is-ilani/ipekyol-giyim-san-ve-tic-a-s-yazilim-uzmani-3406013
Frontend Developer,KARACA ZÜCCACÝYE TÝCARET VE SAN A.Þ.,"git , javascript , bootstrap , flex , cs , html",https://www.kariyer.net//is-ilani/karaca-zuccaciye-ticaret-ve-san-a-s-frontend-developer-3459310
Yazýlým Uzmaný,BELSÝS BÝLGÝSAYAR YAZILIM ÝLETÝÞÝM HÝZM.TÝC.VE SAN.LTD.ÞTÝ.,"html5 , javascript , bootstrap , oracle , cs , microsoft , sql , postgresql , linq , microsoft sql server , json",https://www.kariyer.net//is-ilani/belsis-bilgisayar-yazilim-iletisim-hizm-tic-ve-san-yazilim-uzmani-3456423
Yazýlým Uzmaný (Hibrit Calýþma),Infodrom Yazýlým Danýþmanlýk Hizmetleri LTD. ÞTÝ.,"ajax , html5 , javascript , android , bootstrap , typescript , json",https://www.kariyer.net//is-ilani/infodrom-yazilim-danismanlik-hizmetleri-ltd-sti-yazilim-uzmani-hibrit-calisma-3429822
Yazýlým Uzmaný,RECRA DANISMANLIK OZEL ISTIHDAM HIZMETLERI A.S.,"restful , mvc",https://www.kariyer.net//is-ilani/recra-danismanlik-ozel-istihdam-hizmetleri-a-s-yazilim-uzmani-3444126
Yazýlým Uzmaný,SFS DANIÞMANLIK BÝLGÝ ÝÞLEM SAN.VE DIÞ TÝCARET A.Þ,"seo , html5 , javascript , ii , mvc , xml , sql , linq , json",https://www.kariyer.net//is-ilani/sfs-danismanlik-bilgi-islem-san-ve-dis-ticaret-a-s-yazilim-uzmani-3443872
Front End Developer,CompuGroup Medical Bilgi Sistemleri A.Þ.,"git , java , javascript , html5",https://www.kariyer.net//is-ilani/compugroup-medical-bilgi-sistemleri-a-s-front-end-developer-3407774
Yazýlým Uzmaný,Acýbadem Mehmet Ali Aydýnlar Üniversitesi,"javascript , drupal , apache , cs , html , php",https://www.kariyer.net//is-ilani/acibadem-mehmet-ali-aydinlar-universitesi-yazilim-uzmani-3199676
Oracle PL/SQL Developer,Agito Bilgisayar Yazýlým ve Danýþmanlýk Hizmetleri Anonim Þirketi,"insurance , mathematics , oracle , engineering",https://www.kariyer.net//is-ilani/agito-bilgisayar-yazilim-ve-danismanlik-hizmetleri-oracle-pl-sql-developer-3299532
Yazýlým Uzmaný,Petlas Lastik Sanayi ve Ticaret A.Þ.,"ajax , html5 , javascript , oracle , cs , mvc , xml , json",https://www.kariyer.net//is-ilani/petlas-lastik-sanayi-ve-ticaret-a-s-yazilim-uzmani-3331523
Back End Developer,MS TEKNOLOJÝ TÝCARET LÝMÝTED ÞÝRKETÝ,"ajax , html5 , mvc , laravel , mysql , postgresql",https://www.kariyer.net//is-ilani/ms-teknoloji-ticaret-limited-sirketi-back-end-developer-3459857
Android Geliþtirici,Pratik Aday Servisi,"git , android , java",https://www.kariyer.net//is-ilani/pratik-aday-servisi-android-gelistirici-3461013
Yazýlým Uzmaný,ÝLETÝÞÝM BÝLGÝSAYAR YAZILIM SÝSTEMLERÝ ÝHRACAT ÝTHALAT SAN VE TÝC.A.Þ,microsoft,https://www.kariyer.net//is-ilani/iletisim-bilgisayar-yazilim-sistemleri-ihracat-ith-yazilim-uzmani-3446692
Mid-Level Yazýlým Uzmaný,PALMET ENERJÝ A.Þ.-PALMET ÞÝRKETLER GRUBU,"programming , scrum , mvc , cs , html , design , sql",https://www.kariyer.net//is-ilani/palmet-enerji-a-s-palmet-sirketler-grubu-mid-level-yazilim-uzmani-3223281
Yazýlým Uzmaný (Transfer Merkezleri Uygulamalarý),MNG Kargo Yurtiçi ve Yurtdýþý Taþýmacýlýk A.Þ.,"sql , mvc",https://www.kariyer.net//is-ilani/mng-kargo-yurtici-ve-yurtdisi-tasimacilik-a-s-yazilim-uzmani-transfer-merkezleri-uygulamalari-3458175
Dms Software Developer,Arvato Lojistik Dýþ Ticaret ve E Ticaret Hizmetleri A.Þ.,"insurance , programming , review , scrum , ecommerce , automotive , oauth , debugging , redis , design , management , agile development , sql , engineering",https://www.kariyer.net//is-ilani/arvato-lojistik-dis-ticaret-ve-e-ticaret-hizmetler-dms-software-developer-3457662
Yazýlým Uzmaný,BYS TELEKOM ÝNÞAAT TURÝZM VE TÝCARETA.Þ.,"ajax , asp , javascript , cs , mvc , xml , html , linq",https://www.kariyer.net//is-ilani/bys-telekom-insaat-turizm-ve-ticareta-s-yazilim-uzmani-3448981
Yazýlým Uzmaný,ÖZ-KAN Makina Elemanlarý San. ve Tic. A.Þ. - HAWLE Beteiligungsgesellschaft m.b.H,erp,https://www.kariyer.net//is-ilani/oz-kan-makina-elemanlari-san-ve-tic-a-s-hawle-yazilim-uzmani-2389987
Yazýlým Uzmaný,Agito Bilgisayar Yazýlým ve Danýþmanlýk Hizmetleri Anonim Þirketi,oracle,https://www.kariyer.net//is-ilani/agito-bilgisayar-yazilim-ve-danismanlik-hizmetleri-yazilim-uzmani-3157739
ERP Yazýlým Uzmaný,Horoz Lojistik Kargo Hizmetleri ve Tic. A.Þ.,oracle,https://www.kariyer.net//is-ilani/horoz-lojistik-kargo-hizmetleri-ve-tic-a-s-erp-yazilim-uzmani-3396681
Delphi Yazýlým Uzmaný,Turpak Elektromanyetik Yakýt Ýkmal Sis.Tic.A.Þ.,"asp , delphi",https://www.kariyer.net//is-ilani/turpak-elektromanyetik-yakit-ikmal-sis-tic-a-s-delphi-yazilim-uzmani-2421638
Yazýlým Uzmaný,Crm Akademi Biliþim Sistemleri Limited Þirketi,"crm , javascript , mvc , html , microsoft , dynamic , sql",https://www.kariyer.net//is-ilani/crm-akademi-bilisim-sistemleri-limited-sirketi-yazilim-uzmani-3450027
"Yazýlým Uzmaný (Php, Web, E-Ticaret)",Weltew Modüler Mobilya,"git , javascript , drupal , cs , linux , html , mysql",https://www.kariyer.net//is-ilani/weltew-moduler-mobilya-yazilim-uzmani-php-web-e-ticaret-3335180
ASP.NET Mvc Developer,TEPRO MAKÝNA VE OTOMASYON SÝSTEMLERÝ SAN.VE TÝC.A.Þ.,"ajax , javascript , bootstrap , cs , mvc , html , microsoft , php , wordpress , linq , microsoft sql server , sql",https://www.kariyer.net//is-ilani/tepro-makina-ve-otomasyon-sistemleri-san-ve-tic-a-asp-net-mvc-developer-3399294
Front End Developer,Agito Bilgisayar Yazýlým ve Danýþmanlýk Hizmetleri Anonim Þirketi,"git , insurance , javascript , bootstrap , mathematics , html , design , engineering",https://www.kariyer.net//is-ilani/agito-bilgisayar-yazilim-ve-danismanlik-hizmetleri-front-end-developer-2948635
Yazýlým Uzmaný / Yazýlým Destek Uzmaný,TCM Biliþim ve Danýþmanlýk Hizmetleri A.Þ.,sql,https://www.kariyer.net//is-ilani/tcm-bilisim-ve-danismanlik-hizmetleri-a-s-yazilim-uzmani-yazilim-destek-uzmani-3445199
.Net Developer,ÇUHADAROÐLU ALÜMÝNYUM SAN. ve TÝC. A.Þ,"javascript , sql",https://www.kariyer.net//is-ilani/cuhadaroglu-aluminyum-san-ve-tic-a-s--net-developer-3435500
Back-End Developer,Bimser Çözüm Yazýlým Tic.A.Þ.,"git , azure",https://www.kariyer.net//is-ilani/bimser-cozum-yazilim-tic-a-s-back-end-developer-3091007
Yazýlým Uzmaný,PUSULA CALL CENTER ÝLETÝÞÝM A.Þ.,"java , linq , sql , mvc",https://www.kariyer.net//is-ilani/pusula-call-center-iletisim-a-s-yazilim-uzmani-3231642
Yazýlým Uzmaný,AGARTHA TEKNOLOJÝ ANONÝM ÞÝRKETÝ,"restful , ajax , crm , javascript , bootstrap , cs , mvc , xml , html , erp , sql , json",https://www.kariyer.net//is-ilani/agartha-teknoloji-anonim-sirketi-yazilim-uzmani-2836938
Yazýlým Uzmaný,PRONTOTOUR AC TURÝZM TÝCARET A.Þ.  Pronto Turizm,"scrum , html5 , javascript , wpf , bootstrap , mvc , design , linq",https://www.kariyer.net//is-ilani/prontotour-ac-turizm-ticaret-a-s-pronto-turizm-yazilim-uzmani-3445705
Yazýlým Uzmaný,Key Holding A.Þ.,"git , ajax , html5 , javascript , oracle , cs , laravel , linux , mvc , xml , erp , php",https://www.kariyer.net//is-ilani/key-holding-a-s-yazilim-uzmani-3324390
Yazýlým Uzmaný,Parametre Araþtýrma Biliþim Plan. Ltd. Þti.,"postgresql , oracle",https://www.kariyer.net//is-ilani/parametre-arastirma-bilisim-plan-ltd-sti-yazilim-uzmani-3444926
Yazýlým Uzmaný (Laravel),ALL SEASONS PERA GROUP,"ajax , crm , seo , javascript , bootstrap , cs , laravel , xml , html , php , sql",https://www.kariyer.net//is-ilani/all-seasons-pera-group-yazilim-uzmani-laravel-3128177
Software Chief,Hyundai Glovis Lojistik Dýþ Tic. San. Ve Tic. Ltd,"programming , rtos , oracle , mysql , java , installation , building , linux , management , jsp",https://www.kariyer.net//is-ilani/hyundai-glovis-lojistik-dis-tic-san-ve-tic-ltd-software-chief-3342545
Full Stack Developer,REFGEN BÝYOTEKNOLOJÝ ANONÝM ÞÝRKETÝ,"git , insurance , coding , programming , restful , html5 , javascript , cs , html , building , biotechnology , design , research , php , health , python",https://www.kariyer.net//is-ilani/refgen-biyoteknoloji-anonim-sirketi-full-stack-developer-3432209
Robot Programming Specialist,DÜRR SYSTEMS MAKÝNEMÜH.PROJ.ÝTH.ÝHRLTD.ÞTÝ.,"programming , mechatronics , painting , sale , engineering",https://www.kariyer.net//is-ilani/durr-systems-makinemuh-proj-ith-ihrltd-sti-robot-programming-specialist-3437283
Robot Software Specialist,DÜRR SYSTEMS MAKÝNEMÜH.PROJ.ÝTH.ÝHRLTD.ÞTÝ.,"programming , mechatronics , painting , robotics , building , sale , sql , engineering",https://www.kariyer.net//is-ilani/durr-systems-makinemuh-proj-ith-ihrltd-sti-robot-software-specialist-3437241
Yazýlým Uzmaný (.Net Core Uzmaný),Tusdata Yayýncýlýk Eðitim Dan. Sað. ve Bilg. Hiz.,"git , javascript , mysql , cs , html , postgresql",https://www.kariyer.net//is-ilani/tusdata-yayincilik-egitim-dan-sag-ve-bilg-hiz-yazilim-uzmani-net-core-uzmani-3436996
Yazýlým Uzmaný,Grup Florence Nightingale Hastaneleri,"php , oracle",https://www.kariyer.net//is-ilani/grup-florence-nightingale-hastaneleri-yazilim-uzmani-3034315
Yazýlým Uzmaný,Sektöründe Lider Firma,"git , redis , scrum , restful",https://www.kariyer.net//is-ilani/sektorunde-lider-firma-yazilim-uzmani-3432116
Yazýlým Uzmaný,Tezcanlar Yatýrým A.Þ,"javascript , linq , sql , mvc",https://www.kariyer.net//is-ilani/tezcanlar-yatirim-a-s-yazilim-uzmani-3131854
Yazýlým Uzmaný,Akmercan Þirketler Grubu,"restful , mvc , cs , xml , microsoft , erp , json",https://www.kariyer.net//is-ilani/akmercan-sirketler-grubu-yazilim-uzmani-3390858
Yazýlým Uzmaný,Elnur Gayrimenkul ve Yazýlým Ticaret Limited Þirketi,"redis , sql , typescript",https://www.kariyer.net//is-ilani/elnur-gayrimenkul-ve-yazilim-ticaret-limited-sirke-yazilim-uzmani-3428611
Sharepoint Portal Uzmaný,Türkiye Noterler Birliði,"javascript , sharepoint , html5",https://www.kariyer.net//is-ilani/turkiye-noterler-birligi-sharepoint-portal-uzmani-1845437
.Net Developer,Omuz Omuza Engelsiz Ýnsan Kaynaklarý,"ajax , javascript , wpf , cs , mvc , redis , html , microsoft , xml , sql , microsoft sql server , json",https://www.kariyer.net//is-ilani/omuz-omuza-engelsiz-insan-kaynaklari--net-developer-2496842
ASP.NET Yazýlým Uzmaný,Vizyoneks Bilgi Teknolojileri A.Þ.,"javascript , oracle , mvc",https://www.kariyer.net//is-ilani/vizyoneks-bilgi-teknolojileri-a-s-asp-net-yazilim-uzmani-2989793
